text,tag
 sir without mask vaccine keise le sakte hai ,NAG
 nimsjosh ghanta gopal modi teri chodi  ,OAG
 tum se yuwao ko bahut pareshani ho rahi ,NAG
 aaj khud virus ne vaccine li ,CAG
 sir kbhi apne promise k bare m v baat kar lijie kya hua jobs ka modi_job_do  ,CAG
 mere desh ke selfie queen mask laga lo prachar karne ke liye pura jeevan bacha hai ,NAG
 logo me visvash bare ga par dear sir mask b jaroori tha ,NAG
 modi g in this picture yeh clear nahi ho pa raha hai ki aapne corona ka vaccine liya bhi hai ya sr8tcgvdhx  ,NAG
 petrol ki baatpaar yxlbq4hcof  ,NAG
 sir ek baar aur diya jalana or thaali peetne ka aayojan karwa ,NAG
 himumamafanclub sir ham logon ka ek school hai jiska halat bahut kharab ho gaya hi sir school vpb847phbu  ,NAG
 jinke ghar sheeshe ke hote hain wo dusron ke ghar pathhar nahi feka karte kangana aunty ,CAG
 i think isi sadme se chhutya gaye ho ,OAG
 tu twitter kya karrahi tu kooapp me jake ghoo phailene wali abhi tak yahan kya karrahi bhag yahan ,OAG
 is topic pe aap kyun kuch nahi bolti kyunki yahan bjp ki govt lagta hai bolne se 8vm0uywwuy  ,NAG
 papa modi ke hote kahan case ho rhe terepe farzi aurat subah sham jhooth bolti hai jara list of sh 6ekaxfdenx  ,CAG
 pehle sochta tha bmc ne bahat bura kiya tha but ab mne sochta hno ki tumhara ghar ke sath sath tumhar lwss0mornx  ,NAG
 oho ab samajh aaya ki ye sab badtameeziyan jou tumney macha rakhi hain jissey case file hotey hain tum drf8hje82t  ,CAG
 aapne ghar main chahme laga kar kaun ghumta hain ,NAG
 aap abhi bhi sudhar jao to kuch nhi bigda h mai apka bahut bada fan tha lkin aap ne jo berojgaro p 0mshl5no0o  ,CAG
 badi besharam aurat ha koo ,CAG
 kaise gujre life kaise gujre yeh years har pal toh hum marte hain woh kya jane ,NAG
" jo sushant ke sath hua aur jo tumhare saath ho raha kangana, vo ham sab ke saath bhi hota hai h 5gpmansxe ",NAG
 jub tujhe pta hai to itna fudakti q ,CAG
 ab ise bhai ko promote karna hai ise nepotism nhi bolte kyaa chaalu aunty dramebaaz notanki ,CAG
 han ji kangana ji batao government job me dhadhelibaji kitni h paper leak ho jate h seat me se https:  t ,CAG
 kabhi rojgar par bhi bat kalo apane office me mujhe bhi ,NAG
 chalo berozgar bhai ko case deal karne ki kaam to mila ,NAG
 sach me kangana ek akeli tu hi thi jisne sbko entertain kiya aaj aapki gurumaa rakhi sawant ji aa nb6ubgzeqg  ,NAG
 tu aur tere nautanki jaake bhai ka ghar ka decorations karre the aur yeh sahi karne ke rupees nahi ha p7vnrwhvgp  ,CAG
 jab apna toota to dukh hua na jab farmers ke ghr ujadh rhe hai to tumko ko terrorist lgte hain ,CAG
 bakwaas na kareya karo pher kyun karna case kise ne hale v na tali ta ta ik no hai hor vadu ge besh 1iack19wid  ,CAG
 ye permanent koo pe gye the aur phir vapis aa ,NAG
 akshat ranuat bhai h kya ya rishtedaro m se koi ab nepotism nahi h ,NAG
 nepotism ki hadd hoti hai arrest karan ,CAG
 roz post karna hai na chahe kuch bhi ,CAG
 pagal aise aise pose deke dikhana kya chahti hai ki tu normal hai tera mansik santulan thik ni hai pag tsnvqe7lbe  ,CAG
 pagalkhane le jao is pagal ko koi aise aise pagal ko society me aise khule ghumne ni dena ,CAG
 tabhi to ulte tweet nahin aa rahe aaj kal ,CAG
 suna hai tum jail jane wali ho ,CAG
 kissa kya tha ? aap jaise log ye karte ho to baki hindustan ko kya message dete ho aur log jo kugwangpt1  ,NAG
 bolne ki akal bill kul nhi hai keese ghar v tor deti hai banti rajput famliy karti gandi bate or nach karti ,CAG
 broke again ghar ke andar kaala chashma ,NAG
