text,tag
pitch ko khrab bata k then harbh ,CAG
eng aus ka sahi hai jab haar hoti ,NAG
ye test tha ya  india jit ,NAG
tum aur harbhjan ek jaise hu jealous,CAG
abe chutiye tere jaise gandu batsman main nai dekha,OAG
aap kya chahte ho green top banwa ,NAG
yograj singh asli id se aa ,CAG
400 is not a reflection ,NAG
yuvi commentary me aao ,NAG
bhai aaap cricket legend ho yuvi ,NAG
bro tum dono ka kata hai ,NAG
bhai tu india ka hi hai na ,NAG
sirji aapki bahot respect hai ume ,NAG
ashwin is much better than ,NAG
apne pitaji ki openion bhi daal ,CAG
ufff y so much pain sir bina ,NAG
sir aa kya sir father jais ,NAG
tumko issue kya hai ye bolo india ,NAG
yes bhaji aisi pitch par ,NAG
paji isi match ke dauran india vs ,NAG
by that logic tum bhi koi score ,NAG
" bhai, itna zeher bhara hai tum england ki batting dekhi ya kahin se rupees mile hain india ko cre ",CAG
seems yograj or harbhajan is the twitter admin for yuvi ,CAG
haan jaise ashwin ko hamesha aise hi pitch milte hein ,CAG
like father like son tumhara ,CAG
paji ye modi pitch yaha koi ,NAG
ashwin better than anil and ,CAG
ese test match mujhe bilkul accep ,CAG
please mind yuvi pa aaj su ,CAG
why achchi khasi izzat h ,OAG
harbhajan singh ko aise pitches ,CAG
bhai le bhi raha hai aur congratulations ,NAG
ab eie toh miracle keh sakte hei ,NAG
 haa humko pta h aap happy na ho india ki win pe king punjab win hoga to happy hona gyan na dijey aap k ,CAG
teer ud raha tha yuvi bich me aake apna pant khol liya ,OAG
take this yuvi bhai wxhrrijlsf  ,NAG
the pitch was so dusty kahi kahi ,NAG
however bolke ehsaaan kar raha hai ,CAG
india ki chalti hai inki kyu jalti ,CAG
paaji ye kya tha but one thing ja ,NAG
the traitor of punja ,OAG
 fakirhu harbhajan_singh bhajji apne phone se tweet karo ,CAG
sahi kaha paji i tot ki weekend ,NAG
tere se zyada run maarta hai ashwin ,CAG
tu bada tuchiya ban gaya cancer thik hone ke baad sad ,OAG
pak ke liye charity kar lo ,OAG
time to time sab change hota he ,NAG
ye tweet yaad hai ,NAG
ek dam sahi kaha aapne sir ,NAG
sabr karo uncle kyun bakwaas kar ,OAG
isiliye ashwin ne jyada wicket nhi ,CAG
ye bhajji yuvraj ke account se ky ,CAG
home advantage namak ek word hai ,CAG
sahi bole ho paji yeh toh and ,NAG
