text	tag
Abe movi m bhi dhrm agya kya paglpnti h ye	OAG
Badnam Gujat kutte ki olaad madrchod Pakistani kutto suar ki olaad madrchod Pakistani kutto suar ki olaad	OAG
Modi ji aap ek bar Up ka CM ko ye afar de fir dekhe  Pakistan ki chhathi ka dud yed dila denge	CAG
Kya hota hai ji jb koi pm bn jaata hai to itna pressure rahata hai ki vahi jaanta hai kuch na kuch hoga iss vaar ji. Bs aap log aur support kare logo ko bataye aap khud padhe likhe lg rahe hai kya milega kashmir PAk vaalo ka ho jaayega to aap ko sahi hai na Jai hind	CAG
musalmaan apana dharm to jaanate nahi lekin kaanpi kar hindu se sawaal puchhate rahete he jaraa hamaare bhi sawaalo ke jawaab de do himmat he to . 1) islam banane vaale mohammad ne boodhaape me apane saathi abu-bakar kii 9 saal kii bacchee aaysha se balaatkaar kiya, wo bhi 9 saal kii bacchee se. kya ese balaatkaari kii banaai batoo pe imaan laana sahi he ? 2) mohammad ne apane bete jaid kii bibi jainab se balaatkaar kar shaadi cu kii jaid hijda tha ? yaa mohammad aadat se majaboor tha ? 3) aap bakra id kyon manaate ho ? kyonki aapke kinhi sahab ne allaah ke aadesh pe apane bachche kii qurabaani deni chaahi tab waha bachche kii jagah jaanavar pragat ho gaya , to aap apane bacchon kii qurabaani do naa, jaanavar kii kyon dete ho allaah sachcha hoga to bachche kii jagah jaanavar pragat kar degaa or ye allaah he yaa rakshas jo kun kharabe se prasannn hota he ? 4) ek taraf to murti pujas kii virodh karte ho dusri taraf makka me hajre aswad fattar ko chumne jate ho fattar me vishwaas nahi bolte phir minaa kii jagah fattar ko shaitan samaj fattar cu maarthe ? 5) kyon jab musalmaan makka jate ho to sab mundan kar hindu jaise safed vastra pahante ho ? tawaaf kii puri prakriya hindu kii nakal karte ho phir murti pujas kaa cu virodh karte ho ?? majaar dargaho pe kya hota he ? 6) kyon hinduon kii tarah us jagah kii parikrama karte ho ? jab allaah saatve aasmaan pe baitha he to kaaba ko cu sajadaa, namaskara karte ho ? 7) islam to bahut shanti kaa dharman he (aapke anusaar), to aisa kyon islam main likhaa he ki jo kaphir (gaiyr musalmaan) he unako maar do, aapako 72 huuren milegi ? bhai apni huuron ke chakkar main hamaari jaan kyon lenaa chaahate ho, thodi to insaniyat rakho yaar! 8) quran 2:223 me likhaa he auraton ko kheti kii tarah jaise chaahe istemaal karo quran 33:33 kahati he auraten ghar me bachche paidaa karti rahe or din me 5 baar namaaj phukati rahe kya yahi izzat he aurat kii islam me ? auraton ko burke me ese kaid kar ke rakhte ho aurat na ho koi aate kii bori ho . 9) kyon islam main kaha gaya ki prithvi chokor he, jabaki hindu dharman main prithvi ko gol kaha gaya he, tathaa science pruf kar chukaa he . 10) kyon islam main kaha gaya ki suraj daldal main dub jaataa he, jabaki hindu dharman main likhaa he ki prithvi surya ke chakkar lagaati he ? science bhi pruf kar chukaa he hindu dharman ne duniya ko vimaan shaastra, ayurveda, yoga or hajaaron chize di hai, islam ne duniya ko kya diya, tabaahi or marakaat ke alaava ? 11) 1400 saal pehle aapkaa dharm sthapit hua tha, usase pehle aap kya the ? aapaki ibaadat kaa tarika kya tha ? 12) hamaara hindu dharman hajaaro saal purana he hamaara ram sethu aapane bhi dekha hoga, pani main dubi shri krishna kii nagari bhi dekh lee he, aapke paas kya saboot he ki allaah ne mohammad ko hi bheja tha ? 13) musalmaan jis bhi kshetra men jate he yaa duusare ke yaa khud ke dharm vaale ke saath rahete he vahaan itani ashaanti kyo ho jaati he ? 14) quran 2:260 me allaah ibrahim ko yakeen dilaane ke liye kahata he chaar jaanavar lo phir unki mundia katkar ek-ek kar pahad par rakho phir unhe aawaaj lagaao dekho mundia kaise daudti hui aayegi . sawaal uthta he kya allaah khud ko siddh karne ese phijul ke karname karata rahata he ? kya esa hona sambhav he ? isse kya allaah siddh ho jaayegaa ? 15) agar islam sachcha dharm he to allaah musalamaano ko khatna karke cu nahi bhejtaa ? cu maasoom bachche kaa khatna kar use hindu se musalmaan banaate ho ? 16) kaalpanik qayaamat ke din kabr se kise jinda kiya jaayegaa haddio ko ? cu kii kabr me haddiyaan hi bachati he haddiyaan jananath jaakar kya hurro ke saath disco karegi ?	OAG
Hmare desh k jawano ko bol diya jye .....bs apne aap dekh lenge kis trh se aisi taisi krni h ......or netao ko narjrband kr diya full powar army or paramilitary ko de di jye ......	CAG
Bjp wale bas muslmano ko target krna jante hain talak.azan etf.muddo ko lekar aur  jo jawan shaheed ho rhe hain unke bare me bolna v nhi chahte hai	CAG
Modi aur rajnath ke taraf se mai kathor ,ghor ninda karta hu,,\U0001f61c\U0001f61c\U0001f61c\U0001f61c\U0001f61c	CAG
Bar bar marane se accha hai ek bar hi mare.   Aur apane desh me.  Pakistan hi aantkwad badata hai.   Pakistan nhi to aantkwad nhi hoga.  Usaki punchh kutta jaisa hai.  Usako jad se nikal na padega.  Nhi to vo aise kayar ki tarah pichhe se hamla karta rahega aur hamara sainik sahid hote rahenge.   Jai hind	CAG
Tumhare ghar k koi mre n tb akl ayegi salo	OAG
